# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.647634 0.333140 0.133703 0.547374 0.459958 0.459958
0.853971 0.263910 0.183490 0.477341 0.690538 0.316074
0.691018 0.314867 0.083756 0.688024 0.527498 0.402312
0.473497 0.445957 0.074908 0.600429 0.459596 0.459596
0.948703 0.242652 0.190143 0.465271 0.789319 0.282375
0.891549 0.254923 0.146399 0.551624 0.645758 0.335089
0.591431 0.361286 0.119732 0.546076 0.459804 0.459804
0.573903 0.371344 0.031204 0.886328 0.527102 0.402121
0.574820 0.370801 0.031199 0.883129 0.527102 0.402121
0.642068 0.335682 0.011617 0.978753 0.620408 0.346098
0.753285 0.292621 0.173235 0.496660 0.525849 0.404270
0.707994 0.308382 0.120223 0.594839 0.460021 0.460021
0.635078 0.338945 0.141615 0.522366 0.459958 0.459958
0.689361 0.315518 0.023011 0.930134 0.667568 0.324483
0.878571 0.257937 0.121813 0.600575 0.563618 0.378763
0.614995 0.348782 0.026678 0.912476 0.565026 0.376832
0.497450 0.424933 0.048118 0.737356 0.459550 0.459550
0.906002 0.251671 0.065428 0.746172 0.825460 0.271548
0.596353 0.358582 0.171827 0.436628 0.459958 0.459958
0.694452 0.313527 0.133218 0.562065 0.460048 0.460048
0.648389 0.332799 0.108232 0.609589 0.459876 0.459876
0.510130 0.414744 0.005803 0.979619 0.528574 0.400937
0.896122 0.253882 0.146750 0.551981 0.645239 0.335339
0.944877 0.243426 0.166968 0.510521 0.750611 0.294449
0.720231 0.303912 0.020959 0.938911 0.690154 0.315276
0.705849 0.309182 0.148928 0.531175 0.460130 0.460130
0.533102 0.397721 0.072100 0.648619 0.459632 0.459632
0.594583 0.359548 0.071862 0.711153 0.459695 0.459695
0.943630 0.243680 0.121848 0.599668 0.620765 0.346992
0.937848 0.244865 0.078756 0.702501 0.826393 0.271394
0.912363 0.250273 0.081815 0.694823 0.789143 0.281908
0.809908 0.275551 0.101980 0.643172 0.564055 0.378190
0.592274 0.360819 0.142030 0.490946 0.459849 0.459849
0.901596 0.252651 0.197802 0.449112 0.750611 0.294449
0.811583 0.275084 0.109909 0.625122 0.527972 0.402433
0.957150 0.240964 0.056289 0.776538 0.880256 0.257750
0.726976 0.301518 0.015458 0.957401 0.710466 0.307498
0.797072 0.279196 0.088894 0.675709 0.620851 0.346457
0.630448 0.341151 0.094562 0.645446 0.459813 0.459813
0.951181 0.242154 0.009704 0.979759 0.949216 0.242556
0.821949 0.272240 0.032665 0.883983 0.789211 0.281584
0.712268 0.306802 0.023190 0.918732 0.689643 0.315466
0.634246 0.339339 0.125478 0.556067 0.459894 0.459894
0.745220 0.295277 0.156766 0.525378 0.460239 0.460239
0.515345 0.410724 0.126967 0.470095 0.459695 0.459695
0.705198 0.309426 0.049809 0.806016 0.620698 0.346172
0.854161 0.263862 0.151615 0.540734 0.620864 0.346968
0.906183 0.251631 0.062615 0.755341 0.825979 0.271398
0.652401 0.331001 0.187447 0.446525 0.460130 0.460130
0.527314 0.401848 0.008573 0.982749 0.528089 0.401300
0.878597 0.257931 0.088173 0.676373 0.709869 0.308225
0.689301 0.315542 0.182544 0.469099 0.460202 0.460202
0.801413 0.277950 0.091001 0.670000 0.620058 0.346867
